date,amount,category,description
02-04-2025,3372.67,Income,Cashback
04-07-2024,170.29,Expense,Medical
31-07-2024,14.51,Expense,Subscription
02-12-2024,376.34,Expense,Rent
27-08-2024,4280.14,Income,Investment Return
01-11-2024,2371.64,Income,Gift
11-07-2024,4779.83,Income,Side Gig
13-09-2024,4700.32,Income,Gift
03-10-2024,249.83,Expense,Utilities
05-08-2024,81.79,Expense,Dining Out
29-01-2025,2511.49,Income,Investment Return
19-08-2024,254.59,Expense,Medical
17-03-2025,4067.1,Income,Salary
02-12-2024,3882.41,Income,Salary
08-08-2024,78.56,Expense,Internet Bill
27-11-2024,287.95,Expense,Transportation
13-11-2024,408.02,Expense,Subscription
13-01-2025,4107.9,Income,Side Gig
26-07-2024,98.68,Income,Investment Return
26-02-2025,4784.39,Income,Freelance Project
22-07-2024,3441.94,Income,Side Gig
22-09-2024,770.99,Income,Gift
08-12-2024,206.55,Expense,Clothing
24-04-2025,216.87,Expense,Medical
26-03-2025,459.01,Expense,Utilities
24-02-2025,388.16,Expense,Groceries
10-01-2025,165.57,Expense,Groceries
20-12-2024,271.11,Expense,Medical
30-10-2024,407.29,Expense,Clothing
23-02-2025,315.0,Expense,Rent
12-03-2025,289.51,Expense,Snacks
24-11-2024,152.91,Expense,Subscription
07-11-2024,282.68,Expense,Snacks
25-10-2024,131.39,Expense,Groceries
18-01-2025,3501.12,Income,Salary
29-07-2024,130.03,Expense,Rent
18-07-2024,4435.96,Income,Cashback
04-10-2024,2071.53,Income,Investment Return
23-08-2024,406.6,Expense,Utilities
08-08-2024,216.51,Expense,Subscription
05-12-2024,1011.14,Income,Freelance Project
09-04-2025,413.79,Expense,Utilities
09-02-2025,639.18,Income,Salary
29-03-2025,389.48,Expense,Subscription
20-03-2025,130.06,Expense,Snacks
21-02-2025,249.31,Expense,Snacks
09-04-2025,2825.45,Income,Cashback
28-02-2025,3190.41,Income,Salary
04-12-2024,1804.26,Income,Gift
14-08-2024,200.23,Expense,Clothing
04-09-2024,21.4,Expense,Subscription
09-12-2024,2110.5,Income,Freelance Project
23-12-2024,304.33,Expense,Medical
31-03-2025,250.01,Expense,Dining Out
14-12-2024,4904.19,Income,Gift
02-02-2025,270.31,Expense,Transportation
12-10-2024,2899.84,Income,Cashback
10-08-2024,60.8,Expense,Dining Out
10-12-2024,235.89,Expense,Groceries
22-02-2025,2863.94,Income,Freelance Project
18-04-2025,4184.66,Income,Cashback
22-10-2024,3733.7,Income,Gift
28-11-2024,213.31,Income,Side Gig
05-04-2025,74.95,Expense,Dining Out
12-11-2024,221.8,Expense,Medical
22-12-2024,4463.71,Income,Freelance Project
10-01-2025,96.08,Expense,Utilities
15-07-2024,1574.8,Income,Gift
02-10-2024,348.12,Expense,Groceries
19-08-2024,3744.91,Income,Investment Return
04-08-2024,73.38,Expense,Utilities
30-12-2024,510.72,Income,Investment Return
01-01-2025,3192.29,Income,Gift
28-11-2024,403.02,Expense,Subscription
16-02-2025,2797.27,Income,Gift
23-07-2024,243.26,Expense,Clothing
04-09-2024,463.42,Expense,Utilities
20-02-2025,207.06,Expense,Transportation
08-10-2024,240.34,Expense,Utilities
24-01-2025,324.31,Expense,Snacks
26-03-2025,418.05,Expense,Utilities
16-12-2024,908.22,Income,Side Gig
17-04-2025,179.96,Income,Gift
30-10-2024,83.32,Income,Cashback
13-08-2024,112.08,Expense,Internet Bill
09-12-2024,242.06,Expense,Dining Out
12-08-2024,232.56,Expense,Dining Out
21-09-2024,490.21,Expense,Groceries
11-09-2024,4274.52,Income,Gift
06-07-2024,4774.26,Income,Side Gig
05-12-2024,4868.27,Income,Gift
04-04-2025,2703.18,Income,Side Gig
30-11-2024,293.78,Expense,Groceries
26-07-2024,2543.93,Income,Investment Return
11-08-2024,463.36,Expense,Snacks
27-09-2024,497.57,Expense,Transportation
10-04-2025,363.59,Expense,Transportation
30-12-2024,253.83,Income,Salary
07-08-2024,64.65,Expense,Dining Out
26-07-2024,1241.38,Income,Gift
